batch,vendor_lot,pn,condition,owner,location,bin,qty_available,qty_reserved,qty_in_transfer,qty_pending_ri,us_code,qty_us,qty_in_repair,sn,loan_category,installed_ac,shelf_life_expiration,tool_life_expiration,nha_pn,kit_no,qty_in_rental,pending,sos_date,sos_hour,sos_minute,goods_rcvd_batch,installed_position,handling_notes,hazardous_material,hazardous_material_no,pn_description,chapter,section,paragraph,inventory_type,static_sensitive_part,category,rvsm_flag,rvsm_code,physical_count_date,physical_count_by,stock_uom,gl_company,notes,additional_information,health_safety,class_division,hazardous_substance,hazardous_material,hazardous_material_no,class_division,health_safety,additional_information,hazardous_substance,hazardous_overide,vendor,tool_calibration_no,missing,qty_missing
1675306,DUMMYBN_EXP1623,BACR15BA5DD9C,NEW,,SVO,A1-1.6,2763,0,0,0,,0,0,,,,,,,,,,,,,1675306,,,N,,RIVET,0,0,0,MAINTENANCE,,EXP,,,6/10/2019 08:00:10,VDT00823,GM,,,,,,,,,,,,,,UPLOAD,,,0
1786826,8002954133,NAS1149F0632P,NEW,,SVO,I2C1,2500,0,0,0,,0,0,,,,,,,,0,,,,,1786826,,,N,,WASHER,0,0,0,MAINTENANCE,,EXP,,,,,EA,ALL,,,,,,,,,,,,,UPLOAD,,,0
1778240,907336,BONDERITE-MCR1200S,NEW,,SVO,DG1C16,2330,0,0,0,,0,0,,,,7/10/2023 00:00:00,,,,0,,,,,1778240,,,Y,UN 1755,"COATING CONVERSION, CHROMATE",,,,MAINTENANCE,,CONS,,,,,GM,ALL,,,,8,,Y,UN 1755,8,,,,N,1N6B3,,,0
1677295,BA3063689,CEREX230336,NEW,,SVO,D1.6.2,2166.55,0,0,0,,0,0,,,,,,,,,,,,,1677295,C,,N,,"FABRIC, NYLON",0,0,0,MAINTENANCE,,CONS,,,,,ME,ALL,,,,,,,,,,,,,UPLOAD,,,0
1675420,S060822020P,BACR15GF3D8,NEW,,SVO,K4I3,1820,0,0,0,,0,0,,,,,,,,,,,,,1675420,,,N,,RIVET,0,0,0,MAINTENANCE,,EXP,,,6/10/2019 00:00:00,VDT00823,GM,,,,,,,,,,,,,,UPLOAD,,,0
1675437,S080423002P,BACR15GF3D9,NEW,,SVO,A1-26,1820,0,0,0,,0,0,,,,,,,,,,,,,1675437,,,N,,RIVET,0,0,0,MAINTENANCE,,EXP,,,6/10/2019 08:00:10,VDT00823,GM,,,,,,,,,,,,,,UPLOAD,,,0
1675558,S080912013P,BACR15GF6D9,NEW,,SVO,A1-31,1748,0,0,0,,0,0,,,,,,,,,,,,,1675558,,,N,,RIVET,0,0,0,MAINTENANCE,,EXP,,,6/10/2019 00:00:00,VDT00823,GM,,,,,,,,,,,,,,UPLOAD,,,0
1677341,DUMMYBN_CONS0122,SEAT-COVER,NEW,,SVO,J2A1,1671,0,0,0,,0,0,,,,,,,,,,,,,1677341,,,N,,"COVER, SEAT",0,0,0,MAINTENANCE,,CONS,,,,,EA,ALL,,,,,,,,,,,,,UPLOAD,,,0
1796627,,IPA-216.5LTR,NEW,,SVO,WAREHOUSE,1612,0,0,0,,0,0,,,,1/29/2023 00:00:00,,,,0,,,,,1796627,,2946119,N,,ISOPROPYL ALCOHOL,,,,MAINTENANCE,,CONS,,,,,LTR,ALL,,,,,,N,,,N,,N,,OEM,,,0
1780371,,INOP,NEW,,SVO,K2L3,1558,0,0,0,,0,0,,,,,,,,0,,,0,0,1780371,,,N,,"PLACARD, ""INOPERATIVE""",0,0,0,MAINTENANCE,,EXP,,,,,EA,ALL,,,,,,,,,,,,,UPLOAD,,,0
1786840,8002954148,NAS1149D0463J,NEW,,SVO,I2C1,1495,0,0,0,,0,0,,,,,,,,0,,,,,1786840,,,N,,WASHER FLAT,0,0,0,MAINTENANCE,,EXP,,,,,EA,ALL,,,,,,,,,,,,,UPLOAD,,,0
1794636,2212/2214,3M-EC2216B/A,NEW,,SVO,BOX2,1453.75,0,0,0,,0,0,,,,8/23/2023 00:00:00,,,,0,,,,,1794636,,,N,,"ADHESIVE, EPOXY",,,,MAINTENANCE,,CONS,,,,,ML,ALL,,,,,,N,,,N,,N,,07WQ0,,,0
1675307,DUMMYBN_EXP1626,BACR15BA5DD9C,NEW,,SVO,A1-1.5,1382,0,0,0,,0,0,,,,,,,,,,,,,1675307,,,N,,RIVET,0,0,0,MAINTENANCE,,EXP,,,6/10/2019 08:00:10,VDT00823,GM,,,,,,,,,,,,,,UPLOAD,,,0
1675161,DUMMYBN_EXP0942,BACR15GF4D8,NEW,,SVO,K4C4,1356,0,0,0,,0,0,,,,,,,,,,,,,1675161,,,N,,RIVET,0,0,0,MAINTENANCE,,EXP,,,,,EA,,,,,,,,,,,,,,UPLOAD,,,0
1797947,70387903,MOBILJETOILII-1QT,NEW,NORDAVIA1,SVO,WAREHOUSE,1320,0,0,0,,0,0,,CONSIGNED,,11/4/2031 00:00:00,,,,0,,,0,0,1797947,,2946284,N,,"OIL, TURBINE ENGINE",,,,MAINTENANCE,,CONS,,,,,QT,ALL,,,,,,N,,,,,,N,EXXONMOBIL,,,0
1675406,M-615-954,NAS1097AD3-4,NEW,,SVO,A1-33,1111,0,0,0,,0,0,,,,,,,,,,,,,1675406,,,N,,RIVET,0,0,0,MAINTENANCE,,EXP,,,6/10/2019 08:00:10,VDT00823,GM,,,,,,,,,,,,,,UPLOAD,,,0
1675293,97-3431,NAS1097DD5-16,NEW,,SVO,A1-41,1107,0,0,0,,0,0,,,,,,,,,,,,,1675293,,,N,,RIVET,0,0,0,MAINTENANCE,,EXP,,,6/10/2019 11:22:33,VDT00823,GM,,,,,,,,,,,,,,UPLOAD,,,0
1675292,951024,BACR15BA5DD6,NEW,,SVO,A1-9,1050,0,0,0,,0,0,,,,,,,,,,,,,1675292,,,N,,RIVET,0,0,0,MAINTENANCE,,EXP,,,6/10/2019 12:26:42,VDT00823,GM,,,,,,,,,,,,,,UPLOAD,,,0
1675423,S061122003J,NAS1097DD5-12,NEW,,SVO,A1-40,1042,0,0,0,,0,0,,,,,,,,,,,,,1675423,,,N,,RIVET,0,0,0,MAINTENANCE,,EXP,,,6/10/2019 11:22:33,VDT00823,GM,,,,,,,,,,,,,,UPLOAD,,,0
1674518,DUMMYBN_EXP1438,NAS1149F0432P,NEW,,SVO,K5C5,1000,0,0,0,,0,0,,,,,,,,,,,,,1674518,C,,N,,"WASHER, FLT, ST",32,,,MAINTENANCE,,EXP,,,,,EA,,,,,,,N,,,,,,N,OEM,,,0
