pn,pn_interchangeable,interchangeable_type,authorization_code,vendor,prefer,category
0.002-INCH FEELER GAGE,0.002-INCH FEELER GAGE,M,,,,TOOL
"0.125 INCH INSIDE DIAMETER TUBE, 24","0.125 INCH INSIDE DIAMETER TUBE, 24",M,,OEM,,TOOL
000,000,M,,,,EXP
000000000000000000000000FT1046,000000000000000000000000FT1046,M,,,,ROT
00002136,00002136,M,,,,EXP
00002137,00002137,M,,,,EXP
00002143,00002143,M,,,,EXP
000100,000100,M,,,,CONS
000100-0113,000100-0113,M,,,,EXP
000100-0113C,000100-0113C,M,,,,ROT
00-010009,00-010009,M,,,,TOOLSER
00-010010,00-010010,M,,,,TOOLSER
00-010016,00-010016,M,,,,TOOL
00-010032,00-010032,M,,58828,,TOOL
000100-AVIOX,000100-AVIOX,M,,,,CONS
00-010106,00-010106,M,,58828,,TOOL
000-130-034,000-130-034,M,,,,EXP
000-130-049,000-130-049,M,,,,EXP
000300-1539,BACS16W1A,B,,,N,EXP
000300-1539,000300-1539,M,,,,EXP
000300-1560,000300-1560,M,,,,CONS
0-0036151-0,0-0036151-0,M,,,,EXP
0-0036151-0,31882,B,,,N,EXP
0-0036151-0,36151,B,,,N,EXP
0-0036161-0,32544,B,,,N,EXP
0-0036161-0,36161,B,,,N,EXP
0-0036161-0,0-0036161-0,M,,,,EXP
0-0036161-0,BACT12AC12,B,,,,EXP
0-0055834-2,55834-2,B,,,N,REPSN
0-0055834-2,0-0055834-2,M,,,,REPSN
0-0055838-1,0-0055838-1,M,,,,EXP
0-0055838-1,55838-1,B,,,N,EXP
000589,000589,M,,,,CONS
000744,000744,M,,,,CONS
000810521,000810521,M,,,,TOOL
000819563,000819563,M,,,,TOOL
00083-002,00083-002,M,,,,EXP
00089-007,00089-007,M,,,,EXP
00090-001,00090-001,M,,,,EXP
001032,001032,M,,,,TOOL
001035,001035,M,,,,TOOL
00117-99,00117-99,M,,,,EXP
00-13824-03,00-13824-03,M,,,,CONS
00-13824-03,00-13824-04,B,,,N,CONS
00-157-100,00-157-100,M,,,,TOOL
0016-0015-5,0016-0015-5,M,,,,EXP
0016-0028-1,0016-0028-1,M,,,,EXP
00168-01A3106,00168-01A3106,M,,,,EXP
0016J001612C62,0016J001612C62,M,,,,ROT
