pn,pn_interchangeable,interchangeable_type,authorization_code,vendor,prefer,category
00107-072-000,00107-072-000,M,,OEM,,EXP
00107-072-003,00107-072-003,M,,OEM,,EXP
00113-153-000,00113-153-000,M,,OEM,,EXP
00166-043-000,00166-043-000,M,,OEM,,EXP
00166-323-000,00166-323-000,M,,OEM,,EXP
0016J001612C62,0016J001612C62,M,,ROCKFR,,EXP
00177-298-001,00177-298-001,M,,OEM,,EXP
00180-104-000,00180-104-000,M,,HYDRO,,TOOL
00180-106-000,00180-106-000,M,,HYDRO,,TOOL
001Y018,001Y018,M,,OEM,,TOOLSER
002A0006-40,002A0006-40,M,,OEM,,EXP
00301-241-000,00301-241-000,M,,OEM,,EXP
00301-323-000,00301-323-000,M,,OEM,,EXP
00301-330-000,00301-330-000,M,,OEM,,EXP
00310-490-00275,00310-490-00275,M,,HYDRO,,EXP
00310-490-00370,00310-490-00370,M,,,N,EXP
00316-019-000,00316-019-000,M,,OEM,,EXP
00316-023-000,00316-023-000,M,,OEM,,EXP
00316-035-000,00316-035-000,M,,OEM,,EXP
00316-037-000,00316-037-000,M,,OEM,,EXP
00316-042-000,00316-042-000,M,,OEM,,EXP
00316-043-000,00316-043-000,M,,OEM,,EXP
00316-053-000,00316-053-000,M,,OEM,,EXP
00317-006-000,00317-006-000,M,,OEM,,EXP
00411-005-000,00411-005-000,M,,OEM,,EXP
00411-011-000,00411-011-000,M,,HYDRO,,EXP
00414-031-000,00414-031-000,M,,OEM,,EXP
00414-042-000,00414-042-000,M,,OEM,,EXP
00414-045-000,00414-045-000,M,,OEM,,EXP
00414-047-000,00414-047-000,M,,OEM,,EXP
00432-090-000,00432-090-000,M,,,,EXP
00432-091-000,00432-091-000,M,,UPLOAD,,EXP
00463-148-000,00463-148-000,M,,OEM,,EXP
00495-101-000,00495-101-000,M,,OEM,,EXP
00495-109-000,00495-109-000,M,,OEM,,EXP
00495-110-000,00495-110-000,M,,OEM,,EXP
00495-111-000,00495-111-000,M,,OEM,,EXP
00495-113-000,00495-113-000,M,,OEM,,EXP
00495-115-000,00495-115-000,M,,OEM,,EXP
00495-116-000,00495-116-000,M,,OEM,,EXP
00495-126-000,00495-126-000,M,,OEM,,EXP
00495-299-00125,00495-299-00125,M,,OEM,,EXP
00499-299-00075,00499-299-00075,M,,OEM,,EXP
00499-299-00135,00499-299-00135,M,,OEM,,EXP
00499-299-00330,00499-299-00330,M,,OEM,,EXP
00511-079-00,00511-079-00,M,,OEM,,EXP
00511-079-00,00511-079-000,B,,,N,EXP
006,006,M,,,,EXP
0061BN1,0061BN1,M,,UPLOAD,,TOOL
0061BN1,SPL-1513,B,,,N,TOOL
008,008,M,,,,EXP
008M002,008M002,M,,MAGNAFLUX,,TOOLSER
008M003,008M003,M,,,,TOOL
008M005,008M005,M,,OEM,,EXP
008M010,008M010,M,,UPLOAD,,TOOLSER
0090-13365,0090-13365,M,,UPLOAD,,EXP
01-046,01-046,M,,,,EXP
01-053,01-053,M,,,,EXP
0109706,0109706,M,,OEM,,TOOL
015,015,M,,,,EXP
01530010,01530010,M,,,N,TOOL
01530010,40AD5/32,B,,STAHLWILLE,,TOOL
01530012,40AD3/16,B,,STAHLWILLE,,TOOL
01530012,01530012,M,,,N,TOOL
01530014,01530014,M,,,N,TOOL
01530014,40AD7/32,B,,STAHLWILLE,,TOOL
01530016,01530016,M,,,N,TOOL
01530016,40AD1/4,B,,STAHLWILLE,,TOOL
01530018,01530018,M,,,N,TOOL
01530018,40AD9/32,B,,STAHLWILLE,,TOOL
01530020,40AD5/16,B,,STAHLWILLE,,TOOL
01530020,01530020,M,,STAHLWILLE,N,TOOL
01530022,01530022,M,,,N,TOOL
01530022,40AD11/32,B,,STAHLWILLE,,TOOL
01530024,40AD3/8,B,,STAHLWILLE,,TOOL
01530024,01530024,M,,,N,TOOL
01530028,40AD7/16,B,,STAHLWILLE,,TOOL
01530028,01530028,M,,,N,TOOL
01530032,01530032,M,,,N,TOOL
01530032,40AD1/2,B,,STAHLWILLE,,TOOL
01530034,40AD9/16,B,,STAHLWILLE,,TOOL
01530034,01530034,M,,,N,TOOL
01540016,402A1/4,B,,STAHLWILLE,,TOOL
01540016,01540016,M,,,N,TOOL
01540020,402A5/16,B,,STAHLWILLE,,TOOL
01540020,01540020,M,,,N,TOOL
01540024,402A3/8,B,,STAHLWILLE,,TOOL
01540024,01540024,M,,STAHLWILLE,N,TOOL
01540028,402A7/16,B,,STAHLWILLE,,TOOL
01540028,01540028,M,,,N,TOOL
01540032,402A1/2,B,,STAHLWILLE,,TOOL
01540032,01540032,M,,,N,TOOL
015U1547-431,015U1547-431,M,,OEM,,REP
015U1971-1,015U1971-1,M,,OEM,,EXP
015U2110-1,015U2110-1,M,,OEM,,TOOL
015U2148-1,015U2148-1,M,,81205,,TOOL
015U2169-1,015U2169-1,M,,OEM,,TOOL
015U2174-1,015U2174-1,M,,OEM,,EXP
015U2182-1,015U2182-1,M,,OEM,,TOOL
017B012,017B012,M,,OEM,N,TOOLSER
020-044,020-044,M,,53117,,CONS
02021012,02021012,M,,STAHLWILLE,N,TOOL
02021012,46ASP12-3/8,B,,STAHLWILLE,,TOOL
02021014,46ASP14-7/16,B,,STAHLWILLE,,TOOL
02021014,02021014,M,,,N,TOOL
02-065,02-065,M,,,,EXP
02-067,02-067,M,,,,EXP
02-069,02-069,M,,,,EXP
02-071,02-071,M,,,,EXP
02-073,02-073,M,,,,EXP
02-075,02-075,M,,,,EXP
02-077,02-077,M,,,,EXP
02-081,02-081,M,,,,EXP
022-508-899,022-508-899,M,,UPLOAD,,TOOLSER
024147-000,024147-000,M,,OEM,,ROT
02538-10,02538-10,M,,,,EXP
026T018B,026T018B,M,,,,TOOL
02-C115-H,02-C115-H,M,,K6658,,CONS
030,030,M,,,,EXP
030-1*2,030-1*2,M,,UPLOAD,,TOOL
030-22225-5,030-22225-5,M,,OEM,,CONS
030-22227-1,030-22227-1,M,,OEM,,CONS
030-22229-3,030-22229-3,M,,OEM,,REP
0326-MT38-Y01,0326-MT38-Y01,M,,UPLOAD,,TOOLSER
032756,032756,M,,UPLOAD,,EXP
032757,032757,M,,UPLOAD,,EXP
03410028,50A7/16,B,,UPLOAD,,TOOL
03410028,03410028,M,,UPLOAD,N,TOOL
03420040,51A3/4,B,,,N,TOOL
03420040,03420040,M,,STAHLWILLE,,TOOL
038057-00-81,038057-00-81,M,,UPLOAD,,EXP
0450013HN,0450013HN,M,,13764,,EXP
050-1000-06C31,050-1000-06C31,M,,OEM,,TOOL
050-1000-06C31-B,050-1000-06C31-B,M,,OEM,,TOOL
050-1125-12C47B,050-1125-12C47B,M,,UPLOAD,,TOOL
050-1125-12C47B,SPL-11992,B,,,N,TOOL
050554-2,050554-2,M,,83259,,EXP
05410052,55A1-1/8,B,,,N,TOOL
05410052,05410052,M,,STAHLWILLE,,TOOL
055916-04,055916-04,M,,OEM,,EXP
058-002-03,058-002-03,M,,UPLOAD,,EXP
0596-RZ6,0596-RZ6,M,,UPLOAD,,TOOL
062524,062524,M,,OEM,,EXP
062529,062529,M,,,N,EXP
062625,062625,M,,WURTH,N,EXP
062626,062626,M,,WURTH,N,EXP
062630,062630,M,,,N,EXP
062631,062631,M,,WURTH,N,EXP
062632,062632,M,,WURTH,N,EXP
062640,062640,M,,,N,EXP
062641,062641,M,,WURTH,N,EXP
062648,062648,M,,WURTH,N,EXP
06-304,06-304,M,,0PFP1,,EXP
06-306,06-306,M,,0PFP1,,EXP
06-308,06-308,M,,0PFP1,,EXP
06-309,06-309,M,,0PFP1,,EXP
064-50000-0101,064-50000-0101,M,,OEM,,ROT
0646C624-20,0646C624-20,M,,,,EXP
0646C624-36,5913984-4,B,,,,EXP
0646C624-36,0646C624-36,M,,UPLOAD,,EXP
066-01212-0301,066-01212-0301,M,,OEM,,ROT
0664.130.761,0664.130.761,M,,OEM,,EXP
0664-978,0664-978,M,,OEM,,EXP
0673-31,0673-31,M,,UPLOAD,,TOOL
0699.002.141,0699.002.141,M,,OEM,,TOOL
0699.002.141,0699.003.141,B,,,N,TOOL
0699.003.14,0699.003.14,M,,OEM,,TOOL
0699.008.11,0699.008.11,M,,OEM,,TOOL
0699.129,0699.129,M,,OEM,,TOOL
0699.211.4,0699.211.4,M,,OEM,,TOOL
0699.39,0699.39,M,,OEM,,TOOL
0699.941.811,0699.941.811,M,,OEM,,TOOL
0699.996.10,0699.996.10,M,,OEM,,TOOL
0703.752.1,0703.752.1,M,,OEM,,TOOL
0714.732.403,0714.732.403,M,,OEM,,TOOL
0714.732.405,0714.732.405,M,,OEM,,TOOL
0714.732.410,0714.732.410,M,,OEM,,TOOL
08130003,08130003,M,,,,CONS
08130004,08130004,M,,,,CONS
08130005,08130005,M,,,,CONS
08130006,08130006,M,,,,CONS
08130007,08130007,M,,,,CONS
08130008,08130008,M,,,,CONS
08130009,08130009,M,,,,CONS
08130010,08130010,M,,,,CONS
08260001,08260001,M,,,N,EXP
08260001,13010/1,B,,,N,EXP
08260001,13010-1,B,,STAHLWILLE,,EXP
08260002,08260002,M,,,N,EXP
08260002,13010-2,B,,STAHLWILLE,,EXP
08260002,13010/2,B,,,N,EXP
08260003,13010/3,B,,,N,EXP
08260003,13010-3,B,,STAHLWILLE,,EXP
08260003,08260003,M,,,N,EXP
08260004,08260004,M,,,,CONS
08260005,08260005,M,,,,CONS
08260006,13010/6,B,,,N,EXP
08260006,TS212-6,B,,,N,EXP
08260006,08260006,M,,,N,EXP
08260008,08260008,M,,,N,EXP
08260008,13010/8,B,,,N,EXP
08260010,13010/10,B,,,N,EXP
08260010,TS212-10,B,,,N,EXP
08260010,08260010,M,,,N,EXP
08260016,08260016,M,,OEM,,CONS
08260016,TS212-1/4A,B,,OEM,,CONS
0851HT1,0851HT-1,B,,,N,ROT
0851HT1,S232N911-6,B,,,N,ROT
0851HT1,0851HT1,M,,OEM,,ROT
0856AE18,10-61458-18,B,,,N,ROT
0856AE18,0856AE18,M,,UPLOAD,,ROT
0856AE19,0856AE19,M,,59885,,ROT
0856RE5,0856RE5,M,,OEM,,REP
0856RE6,0856RE6,M,,OEM,,REP
08930505,08930505,M,,OEM,,CONS
0893-050-5,0893-050-5,M,,OEM,,CONS
0900471,0900471,M,,,,EXP
0900474,0900474,M,,,,EXP
09098,09098,M,,,,TOOL
